"sample","detailed_category","primary disease or tissue","_primary_site","_sample_type","_gender","_study","cancer","sample.type.cancer.info","Grade","Stage","TNM.Metastasis","TNM.Node","TNM.Tumor","Cancer.Type.Detailed","Subtype"
"TCGA-AR-A251-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-AR-A252-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-AR-A254-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-AR-A255-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-AR-A256-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-AR-A2LE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-AR-A2LH-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE III","M0","N3","T3","Breast Invasive Lobular Carcinoma","BRCA_Normal"
"TCGA-AR-A2LJ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","MX","N1","T3","Breast Invasive Lobular Carcinoma",NA
"TCGA-AR-A2LK-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE III","M0","N2","T3","Breast Invasive Lobular Carcinoma","BRCA_LumB"
"TCGA-AR-A2LL-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-AR-A2LM-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE II","M0","N1","T1","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-AR-A2LN-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-AR-A2LO-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-AR-A2LQ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0","T3","Breast Invasive Lobular Carcinoma","BRCA_Normal"
"TCGA-AR-A2LR-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-AR-A5QM-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-AR-A5QN-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-AR-A5QP-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-AR-A5QQ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1","T3","Breast Invasive Carcinoma (NOS)","BRCA_Basal"
"TCGA-B6-A0I1-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A0I2-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0 (I-)","T1C","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A0I5-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1B","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0I6-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1","T1C","Breast Invasive Ductal Carcinoma",NA
"TCGA-B6-A0I8-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","M0","NX","T1","Breast Invasive Ductal Carcinoma",NA
"TCGA-B6-A0I9-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IV","M1","NX","T3","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-B6-A0IA-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-B6-A0IB-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IV","M1","N3","T3","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-B6-A0IC-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","MX","NX","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-B6-A0IE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1B","T3","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-B6-A0IG-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1B","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0IH-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1B","T3","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-B6-A0IJ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0 (I-)","T3","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A0IK-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIB","M0","N1","T4","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-B6-A0IM-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0 (I-)","T3","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-B6-A0IN-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","MX","NX","T1C","Breast Invasive Carcinoma (NOS)","BRCA_LumB"
"TCGA-B6-A0IO-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0IP-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0 (I-)","T1C","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-B6-A0IQ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1B","T3","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A0RE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","M0","N0 (I-)","TX","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A0RG-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0 (I-)","T3","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0RH-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-B6-A0RI-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIB","M0","N1B","T4B","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0RL-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-B6-A0RM-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","MX","NX","TX","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0RN-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0 (I-)","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0RO-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIB","M0","N1A","T4","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0RP-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIB","M0","N1B","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-B6-A0RQ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0 (I-)","T3","Breast Invasive Lobular Carcinoma","BRCA_Normal"
"TCGA-B6-A0RS-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-B6-A0RT-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1","T3","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A0RU-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0 (I-)","T1C","Breast Invasive Carcinoma (NOS)","BRCA_Basal"
"TCGA-B6-A0RV-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T3","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-B6-A0WS-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","MX","NX","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0WT-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0WV-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1B","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-B6-A0WW-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","MX","N1B","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-B6-A0WX-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1B","T3","Breast Invasive Carcinoma (NOS)","BRCA_Basal"
"TCGA-B6-A0WY-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1B","T3","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0WZ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE II","M0","N1B","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0X0-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0 (I-)","T1C","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-B6-A0X1-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M1","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A0X4-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1B","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A0X5-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1B","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-B6-A0X7-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","MX","NX","T1C","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-B6-A1KC-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-B6-A1KF-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A1KI-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A1KN-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIB","M0","N1","T4B","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-B6-A2IU-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-B6-A3ZX-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IV","M1","N1","T3","Breast Invasive Carcinoma (NOS)",NA
"TCGA-B6-A400-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2A","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-B6-A401-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1A","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-B6-A402-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0 (I-)","T1C","Breast Invasive Ductal Carcinoma",NA
"TCGA-B6-A408-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T2","Breast Invasive Carcinoma (NOS)",NA
"TCGA-B6-A409-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2A","T1C","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-B6-A40B-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0 (I-)","T1B","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-B6-A40C-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0 (I-)","T3","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-BH-A0AU-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-BH-A0AU-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0AV-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-BH-A0AW-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1A","T1C","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-BH-A0AY-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0AZ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","CM0 (I+)","N1A","T3","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-BH-A0AZ-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0B0-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-BH-A0B1-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-BH-A0B2-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1A","Breast Invasive Ductal Carcinoma",NA
"TCGA-BH-A0B3-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-BH-A0B3-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0B4-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Male","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-BH-A0B5-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2A","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-BH-A0B5-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0B6-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0B7-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-BH-A0B7-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0B8-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0 (I-)","T1B","Breast Invasive Ductal Carcinoma",NA
"TCGA-BH-A0B8-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0B9-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0 (I-)","T1C","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-BH-A0BA-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T3","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-BH-A0BA-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0BC-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-BH-A0BC-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0BD-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1A","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-BH-A0BF-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1MI","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-BH-A0BG-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-BH-A0BJ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-BH-A0BJ-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0BL-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-BH-A0BM-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-BH-A0BM-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-BH-A0BO-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1B","Breast Invasive Ductal Carcinoma","BRCA_LumA"
